person_id,birth_datetime_local,birth_timezone,system,subsystem,source_tool,source_url_or_ref,data_point,verbatim_text,category,subcategory,direction_cardinal,direction_degrees,timing_window_start,timing_window_end,polarity,strength,confidence,weight_system,privacy,provenance,notes
default-person,1992-09-01T06:03:00,Australia/Sydney,WA,Sidereal · Lahiri,Swiss Ephemeris,,Sun 08° Virgo,Sun at 08° Virgo in 1st house,Personality,Core Self,,,,,+,2,0.9,1,paid,provider:ephemeris:swiss,house_system=P; ayanamsa=lahiri
default-person,1992-09-01T06:03:00,Australia/Sydney,JA,Lahiri,Swiss Ephemeris,,Nakṣatra Chitrā,Moon longitude 186.49° (sidereal),Timing,Nakṣatra,,,,,+,0,0.85,1,public,provider:ephemeris:lahiri,sequence:vimshottari
default-person,1992-09-01T06:03:00,Australia/Sydney,FS,Period 8,Traditional Flying Star,,North palace prosperity,Star 9 (base 1 / period 8),Direction,Flying Star,N,0,,,+,1,0.75,1,public,provider:fs:period-8,facing:0°
default-person,1992-09-01T06:03:00,Australia/Sydney,BaZi,Standard,SolarLunar Chinese Calendar,,Day pillar Ji-Si (己巳),Ji-Si (己巳) stem/branch,Timing,Pillar,,,,,+,1,0.88,1,public,provider:chineseCalendar:standard,gender:unspecified
default-person,1992-09-01T06:03:00,Australia/Sydney,QMDJ,Zhi Run · yang,Lo Shu QMDJ,,Centre palace,Wu | Open | Chief,Guidance,Palace,,,,,+,0,0.72,1,public,provider:qmdj:zhi-run:yang,arrangement:yang
default-person,1992-09-01T06:03:00,Australia/Sydney,HD,BodyGraph,Human Design Gate Mapper,,Type,Manifesting Generator,Personality,Type,,,,,+,0,0.7,0.6,paid,provider:hd,authority:Sacral
default-person,1992-09-01T06:03:00,Australia/Sydney,GK,Activation Sequence,Gene Keys Profile,,Life's Work,Gene Key 29 · Line 2,Guidance,Sphere,,,,,+,0,0.65,0.5,paid,provider:gk,sequence:Activation
default-person,1992-09-01T06:03:00,Australia/Sydney,Numerology_Pythagorean,,MetaMap numerology,,Life Path 13/4,Life Path 13/4,Personality,Life Path,,,,,+,1,0.6,1,public,internal:numerology,auto-calculated:numerology
default-person,1992-09-01T06:03:00,Australia/Sydney,Numerology_Chaldean,,MetaMap numerology,,Birth number 4,Birth number 4,Learning,Birth Number,,,,,+,1,0.6,1,public,internal:numerology,auto-calculated:numerology
default-person,1992-09-01T06:03:00,Australia/Sydney,Tarot,Celtic Cross,MetaMap RNG,,The Sun,UNKNOWN,Guidance,Outcome,,,2024-03-01T10:15:00+11:00,2024-03-01T10:15:00+11:00,0,0,0.5,1,internal,rng:tarot,spread:celtic; position:Outcome
default-person,1992-09-01T06:03:00,Australia/Sydney,Geomancy,Judge,MetaMap RNG,,Judge 15,UNKNOWN,Guidance,Judge,,,2024-03-01T09:00:00+11:00,2024-03-01T09:00:00+11:00,0,0,0.5,1,internal,rng:geomancy,figure:● ○ ● ○
